"Date","SessionStart","FocalStart","FocalEnd","Type","Observer","Recorder","DeviceName","Group","UniqueFocalCode","ScanStart","GroupBehavior","GroupVisibility","ScanID","ScanBehavior","ScanBehaviorType","InvolvedID","x_position","y_position","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","scan_timeStamp"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:12:12","Foraging - Tree","26 - 50% Visible","TRU","FORAGE","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:12:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:12:12","Foraging - Tree","26 - 50% Visible","TIN",NA,NA,NA,-4.18983,0.9355932,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:12:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:17:12","Foraging - Tree","25% or less Visible","TRU","FORAGE","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:17:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:22:12","Foraging - Tree","25% or less Visible","TRU","FEED",NA,NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:22:12","Foraging - Tree","25% or less Visible","TIN",NA,NA,NA,-0.7220339,-0.3355932,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:22:12","Foraging - Tree","25% or less Visible","TAI",NA,NA,NA,2.898305,3.020339,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:49:08","10:59:08","focal","Sophia;Kerensa","Kerensa","Diana","T","TEL_2020-03-02,10:49:08","10:49:08","Foraging - Tree","51 - 75% Visible","TEL","FORAGE","Ground",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:49:08"
2020-03-02,"10:12:04","10:49:08","10:59:08","focal","Sophia;Kerensa","Kerensa","Diana","T","TEL_2020-03-02,10:49:08","10:49:08","Foraging - Tree","51 - 75% Visible","TIC",NA,NA,NA,-1.99322,0.02033898,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:49:08"
2020-03-02,"10:12:04","10:49:08","10:59:08","focal","Sophia;Kerensa","Kerensa","Diana","T","TEL_2020-03-02,10:49:08","10:49:08","Foraging - Tree","51 - 75% Visible","TAN",NA,NA,NA,-1.60678,1.627119,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:49:08"
2020-03-02,"10:12:04","10:49:08","10:59:08","focal","Sophia;Kerensa","Kerensa","Diana","T","TEL_2020-03-02,10:49:08","10:54:09","Foraging - Ground","26 - 50% Visible","TEL","FORAGE","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:54:09"
2020-03-02,"10:12:04","10:49:08","10:59:08","focal","Sophia;Kerensa","Kerensa","Diana","T","TEL_2020-03-02,10:49:08","10:59:09","Foraging - Tree","25% or less Visible","TEL","FORAGE","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:59:09"
2020-03-02,"11:14:09","11:14:23","11:24:23","focal","Sophia;Kerensa","Sophia","Diana","T","TES_2020-03-02,11:14:23","11:14:23","Foraging - Tree","26 - 50% Visible","TES","SELF-DIRECTED","Grooming",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,11:14:09",NA,"2020-03-02,11:14:23"
