"Date","SessionStart","FocalStart","FocalEnd","Type","Observer","Recorder","DeviceName","Group","FocalID","BehaviorStart","Actor","Behavior","Recipient","BehaviorType","Involved","Against","Start/End","Part","comment","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","focal_start_timeStamp","focal_end_timeStamp"
2021-06-28,"13:42:24","14:48:48","14:50:35","abort","Emily","Emily","Jane","M","MIS","14:49:18","MIS","Contact","MAN",NA,NA,NA,"END",NA,NA,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-06-28,13:42:24",NA,"2021-06-28,14:48:48","2021-06-28,14:50:35"
2021-06-02,"07:12:10","07:19:05","07:23:21","abort","Juan Carlos;Ren","Juan Carlos;Ren","Miravalles","T","TAB","07:19:26","TAB","Foraging State","TAB",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-02,07:12:10",NA,"2021-06-02,07:19:05","2021-06-02,07:23:21"
2021-06-02,"07:12:10","07:19:05","07:23:21","abort","Juan Carlos;Ren","Juan Carlos;Ren","Miravalles","T","TAB","07:19:44","TAB","Eat","TAB",NA,NA,NA,NA,"Plant",NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-02,07:12:10",NA,"2021-06-02,07:19:05","2021-06-02,07:23:21"
2021-06-02,"07:12:10","07:19:05","07:23:21","abort","Juan Carlos;Ren","Juan Carlos;Ren","Miravalles","T","TAB","07:19:47","TAB","Eat","TAB",NA,NA,NA,NA,"Plant",NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-02,07:12:10",NA,"2021-06-02,07:19:05","2021-06-02,07:23:21"
2021-06-02,"07:12:10","07:19:05","07:23:21","abort","Juan Carlos;Ren","Juan Carlos;Ren","Miravalles","T","TAB","07:20:03","TAB","Eat","TAB",NA,NA,NA,NA,"Plant",NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-02,07:12:10",NA,"2021-06-02,07:19:05","2021-06-02,07:23:21"
2021-06-02,"07:12:10","07:19:05","07:23:21","abort","Juan Carlos;Ren","Juan Carlos;Ren","Miravalles","T","TAB","07:20:09","TAB","Food Peep","TAB","Alone",NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-02,07:12:10",NA,"2021-06-02,07:19:05","2021-06-02,07:23:21"
2021-06-02,"07:12:10","07:19:05","07:23:21","abort","Juan Carlos;Ren","Juan Carlos;Ren","Miravalles","T","TAB","07:20:13","TAB","Food Peep","TAB","Alone",NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-02,07:12:10",NA,"2021-06-02,07:19:05","2021-06-02,07:23:21"
2021-06-02,"07:12:10","07:19:05","07:23:21","abort","Juan Carlos;Ren","Juan Carlos;Ren","Miravalles","T","TAB","07:20:16","TAB","Eat","TAB",NA,NA,NA,NA,"Plant",NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-02,07:12:10",NA,"2021-06-02,07:19:05","2021-06-02,07:23:21"
2021-06-02,"07:12:10","07:19:05","07:23:21","abort","Juan Carlos;Ren","Juan Carlos;Ren","Miravalles","T","TAB","07:20:22","TAB","Eat","TAB",NA,NA,NA,NA,"Plant",NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-02,07:12:10",NA,"2021-06-02,07:19:05","2021-06-02,07:23:21"
2021-06-02,"07:12:10","07:19:05","07:23:21","abort","Juan Carlos;Ren","Juan Carlos;Ren","Miravalles","T","TAB","07:20:36","TAB","Approach","UNK_1",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-02,07:12:10",NA,"2021-06-02,07:19:05","2021-06-02,07:23:21"
2021-06-02,"07:12:10","07:19:05","07:23:21","abort","Juan Carlos;Ren","Juan Carlos;Ren","Miravalles","T","TAB","07:20:43","TAB","Look at","TAB","Peep",NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-02,07:12:10",NA,"2021-06-02,07:19:05","2021-06-02,07:23:21"
2021-06-02,"07:12:10","07:19:05","07:23:21","abort","Juan Carlos;Ren","Juan Carlos;Ren","Miravalles","T","TAB","07:20:53","UNK_1","Leave","TAB",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-02,07:12:10",NA,"2021-06-02,07:19:05","2021-06-02,07:23:21"
2021-06-02,"07:12:10","07:19:05","07:23:21","abort","Juan Carlos;Ren","Juan Carlos;Ren","Miravalles","T","TAB","07:21:01","TAB","Eat","TAB",NA,NA,NA,NA,"Plant",NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-02,07:12:10",NA,"2021-06-02,07:19:05","2021-06-02,07:23:21"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:46:30","TAN","Foraging State","TAN",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:46:43","TAN","Approach","TIG",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:46:45","TAN","Approach","TES",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:46:50","TES","Leave","TAN",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:46:53","TIG","Leave","TAN",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:47:38","TAN","Approach","TES",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:47:40","TAN","Approach","TIG",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:47:48","TAN","Eat","TAN",NA,NA,NA,NA,"Animal",NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:48:13","TOT","Approach","TAN",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:48:18","TUA","Approach","TAN",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:48:20","TAN","Look at","TAN","Twitter",NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:48:30","TAN","Look at","TAN","Twitter",NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:48:45","TOT","Leave","TAN",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
