"Date","SessionStart","FocalStart","FocalEnd","Type","Observer","Recorder","DeviceName","Group","UniqueFocalCode","ScanStart","GroupBehavior","GroupVisibility","ScanID","ScanBehavior","ScanBehaviorType","PlantPart","PlantSpecies","InvolvedID","x_position","y_position","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","scan_timeStamp"
2023-06-05,"08:03:18","08:49:44","08:59:44","focal","Elena;Vasco","Chloe;Vasco","Alajuela","M","MOS_2023-06-05,08:49:44","08:49:44","Forage/Travel","76 - 100% Visible","MOS","FORAGE","Tree",NA,NA,NA,"0","0","41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-05,08:03:18","2023-06-06,05:22:54","2023-06-05,08:49:44"
2023-06-05,"08:03:18","08:49:44","08:59:44","focal","Elena;Vasco","Chloe;Vasco","Alajuela","M","MOS_2023-06-05,08:49:44","08:49:44","Forage/Travel","76 - 100% Visible","MAY",NA,NA,NA,NA,NA,"-1.155603051","1.952471256","41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-05,08:03:18","2023-06-06,05:22:54","2023-06-05,08:49:44"
2023-06-05,"08:03:18","08:49:44","08:59:44","focal","Elena;Vasco","Chloe;Vasco","Alajuela","M","MOS_2023-06-05,08:49:44","08:49:44","Forage/Travel","76 - 100% Visible","MOW",NA,NA,NA,NA,NA,"-4.480503559","3.135154009","41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-05,08:03:18","2023-06-06,05:22:54","2023-06-05,08:49:44"
2023-06-05,"08:03:18","08:49:44","08:59:44","focal","Elena;Vasco","Chloe;Vasco","Alajuela","M","MOS_2023-06-05,08:49:44","08:54:44","Forage/Travel","76 - 100% Visible","MOS","FORAGE","Tree",NA,NA,NA,"0","0","41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-05,08:03:18","2023-06-06,05:22:54","2023-06-05,08:54:44"
2023-06-05,"08:03:18","08:49:44","08:59:44","focal","Elena;Vasco","Chloe;Vasco","Alajuela","M","MOS_2023-06-05,08:49:44","08:54:44","Forage/Travel","76 - 100% Visible","MUL",NA,NA,NA,NA,NA,"2.505007267","-1.996255159","41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-05,08:03:18","2023-06-06,05:22:54","2023-06-05,08:54:44"
2023-06-05,"08:03:18","08:49:44","08:59:44","focal","Elena;Vasco","Chloe;Vasco","Alajuela","M","MOS_2023-06-05,08:49:44","08:54:44","Forage/Travel","76 - 100% Visible","MIL",NA,NA,NA,NA,NA,"4.256716251","3.270030499","41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-05,08:03:18","2023-06-06,05:22:54","2023-06-05,08:54:44"
2023-06-05,"08:03:18","08:49:44","08:59:44","focal","Elena;Vasco","Chloe;Vasco","Alajuela","M","MOS_2023-06-05,08:49:44","08:54:44","Forage/Travel","76 - 100% Visible","MEL",NA,NA,NA,NA,NA,"4.37944746","3.459706068","41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-05,08:03:18","2023-06-06,05:22:54","2023-06-05,08:54:44"
2023-06-05,"08:03:18","08:49:44","08:59:44","focal","Elena;Vasco","Chloe;Vasco","Alajuela","M","MOS_2023-06-05,08:49:44","08:59:44","Forage/Travel","76 - 100% Visible","MOS","TRAVEL","Tree",NA,NA,NA,"0","0","41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-05,08:03:18","2023-06-06,05:22:54","2023-06-05,08:59:44"
2023-06-05,"08:03:18","08:49:44","08:59:44","focal","Elena;Vasco","Chloe;Vasco","Alajuela","M","MOS_2023-06-05,08:49:44","08:59:44","Forage/Travel","76 - 100% Visible","MIL",NA,NA,NA,NA,NA,"2","0","41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-05,08:03:18","2023-06-06,05:22:54","2023-06-05,08:59:44"
2023-06-05,"08:03:18","08:49:44","08:59:44","focal","Elena;Vasco","Chloe;Vasco","Alajuela","M","MOS_2023-06-05,08:49:44","08:59:44","Forage/Travel","76 - 100% Visible","MEL",NA,NA,NA,NA,NA,"2","0","41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-05,08:03:18","2023-06-06,05:22:54","2023-06-05,08:59:44"
