"Date","SessionStart","FocalStart","FocalEnd","Type","Observer","Recorder","DeviceName","Group","UniqueFocalCode","BehaviorStart","Actor","Behavior","Recipient","BehaviorType","Involved","Against","Start/End","Part","comment","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","focal_end_timeStamp"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:12:47","TRU","Foraging State","TRU",NA,NA,NA,NA,NA,NA,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:14:02","TRU","Eat","TRU",NA,NA,NA,NA,"Animal",NA,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:15:26","TRU","Twitter","TRU","Alone",NA,NA,NA,NA,NA,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:17:07","TRU","Eat","TRU",NA,NA,NA,NA,"Animal",NA,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:17:52","TRU","Peep","TRU","Alone",NA,NA,NA,NA,NA,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:18:06","TRU","Peep","TRU","Alone",NA,NA,NA,NA,NA,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:18:22","TRU","Peep","TRU","Alone",NA,NA,NA,NA,NA,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:18:27","TRU","Peep","TRU","Alone",NA,NA,NA,NA,NA,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:19:09","TRU","Peep","TRU","Alone",NA,NA,NA,NA,NA,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:19:12","TRU","Peep","TRU","Alone",NA,NA,NA,NA,NA,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:19:15","TRU","Travel State","TRU",NA,NA,NA,NA,NA,NA,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:19:23","TRU","Social Peep","TRU","Unknown",NA,NA,NA,NA,NA,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
2020-03-02,"10:12:04","10:12:12","10:22:12","focal","Sophia;Kerensa","Kerensa","Diana","T","TRU_2020-03-02,10:12:12","10:19:38","TRU","Peep","TRU","Directed",NA,NA,"TIN",NA,NA,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,10:12:04",NA,"2020-03-02,10:22:12"
